Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
383220,KR7383220001,F&F,KOSPI,,78200,2,-600,-0.76,79100,79600,76600,75956,5899723150,2995613265000,38307075,STK
103140,KR7103140000,풍산,KOSPI,,106300,1,4500,4.42,102500,109800,101000,354551,37709867500,2978980751400,28024278,STK
000990,KR7000990002,DB하이텍,KOSPI,,68300,1,3000,4.59,66500,68600,66200,406357,27518063750,2971363360400,43504588,STK
012750,KR7012750006,에스원,KOSPI,,77700,1,900,1.17,77800,78000,76200,37420,2898310150,2952536130600,37999178,STK
004990,KR7004990008,롯데지주,KOSPI,,27900,3,0,0.0,28150,28200,27800,114467,3197772325,2926967712300,104909237,STK
009970,KR7009970005,영원무역홀딩스,KOSPI,,215000,1,8500,4.12,213000,216000,207000,14670,3114915000,2902335955000,13499237,STK
145020,KR7145020004,휴젤,KOSDAQ GLOBAL,우량기업부,235000,1,2000,0.86,236500,240000,230500,41168,9719268750,2891447755000,12304033,KSQ
026960,KR7026960005,동서,KOSPI,,28850,2,-150,-0.52,29100,29100,28600,83867,2415529450,2876345000000,99700000,STK
439260,KR7439260001,대한조선,KOSPI,,74600,1,200,0.27,75100,75600,74200,130252,9734281800,2874062875200,38526312,STK
088350,KR7088350004,한화생명,KOSPI,,3270,1,60,1.87,3215,3270,3210,1567896,5086583335,2840093100000,868530000,STK
001450,KR7001450006,현대해상,KOSPI,,30950,1,650,2.15,30850,31050,30350,425885,13114550425,2766930000000,89400000,STK
068760,KR7068760008,셀트리온제약,KOSDAQ,우량기업부,62400,2,-300,-0.48,63000,63000,62100,62413,3889715700,2725751808000,43681920,KSQ
041510,KR7041510009,에스엠,KOSDAQ GLOBAL,우량기업부,118700,1,1600,1.37,118000,119700,116100,85451,10064718300,2717599703000,22894690,KSQ
042670,KR7042670000,HD현대인프라코어,KOSPI,,14260,2,-860,-5.69,15300,15380,14010,3382927,49204367365,2693018653880,188851238,STK
030000,KR7030000004,제일기획,KOSPI,,23100,2,-50,-0.22,23300,23300,22950,390758,9013890650,2657452297500,115041225,STK
081660,KR7081660003,미스토홀딩스,KOSPI,,44100,2,-350,-0.79,45300,45300,43300,61718,2708958150,2650226499900,60095839,STK
004370,KR7004370003,농심,KOSPI,,435000,1,4000,0.93,433500,435500,429500,18772,8148407500,2645949270000,6082642,STK
103590,KR7103590006,일진전기,KOSPI,,55400,1,700,1.28,55600,56900,54600,337767,18729033200,2641770606000,47685390,STK
140410,KR7140410002,메지온,KOSDAQ,중견기업부,86000,2,-3400,-3.8,91100,91100,85700,398687,35137474000,2611296604000,30363914,KSQ
204320,KR7204320006,HL만도,KOSPI,,55600,1,1100,2.02,54900,56500,53000,1406200,77458249500,2610815872000,46957120,STK
030530,KR7030530000,원익홀딩스,KOSDAQ,중견기업부,33700,1,650,1.97,33500,35950,33050,7742093,265958961725,2602919959700,77237981,KSQ
237690,KR7237690003,에스티팜,KOSDAQ GLOBAL,우량기업부,125500,2,-2200,-1.72,130300,130600,123400,191464,24025990900,2598061342000,20701684,KSQ
226950,KR7226950004,올릭스,KOSDAQ,기술성장기업부,128300,2,-7000,-5.17,137900,137900,125700,805819,103880671850,2590361988900,20189883,KSQ
000240,KR7000240002,한국앤컴퍼니,KOSPI,,27150,1,300,1.12,27150,27600,26750,82590,2245962000,2577491766000,94935240,STK
012510,KR7012510004,더존비즈온,KOSPI,,83900,3,0,0.0,84100,85000,83100,123728,10396513550,2549115577600,30382784,STK
008930,KR7008930000,한미사이언스,KOSPI,,37150,2,-300,-0.8,37900,38000,36950,100137,3724925075,2540746082500,68391550,STK
014680,KR7014680003,한솔케미칼,KOSPI,,224000,1,4500,2.05,224000,225500,220000,34012,7587159250,2539083680000,11335195,STK
403870,KR7403870009,HPSP,KOSDAQ GLOBAL,우량기업부,29950,1,1250,4.36,29500,30250,29150,552659,16476523100,2504136511600,83610568,KSQ
257720,KR7257720003,실리콘투,KOSDAQ,우량기업부,40750,1,200,0.49,40600,41150,40450,268286,10964873200,2492755251000,61171908,KSQ
035900,KR7035900000,JYP Ent.,KOSDAQ GLOBAL,우량기업부,70000,2,-200,-0.28,70600,70700,69500,200396,14044138500,2487274440000,35532492,KSQ
139130,KR7139130009,iM금융지주,KOSPI,,15270,1,540,3.67,14790,15270,14790,674784,10208598505,2474574749820,162054666,STK
004170,KR7004170007,신세계,KOSPI,,249500,2,-500,-0.2,253000,253500,244500,54138,13432750000,2406472659500,9645181,STK
139480,KR7139480008,이마트,KOSPI,,86800,1,1300,1.52,86300,86900,84900,123787,10661819650,2395317089200,27595819,STK
051600,KR7051600005,한전KPS,KOSPI,,53200,1,400,0.76,53500,53600,53000,120327,6404181650,2394000000000,45000000,STK
353200,KR7353200009,대덕전자,KOSPI,,48100,1,1600,3.44,47200,48250,47200,854467,40911586625,2376954092500,49416925,STK
001720,KR7001720002,신영증권,KOSPI,,142200,2,-700,-0.49,143200,143700,140100,13547,1922575000,2337768000000,16440000,STK
263750,KR7263750002,펄어비스,KOSDAQ GLOBAL,우량기업부,36200,2,-150,-0.41,36400,36700,36150,106912,3881935350,2325772351000,64247855,KSQ
095340,KR7095340006,ISC,KOSDAQ GLOBAL,우량기업부,106700,1,5300,5.23,106000,109000,104900,197299,21149448100,2261726088600,21197058,KSQ
